product_name,product_price,product_brand,product_image_url,product_url
Lib Tech Travis Rice Orca 153 2021,"€ 649,95",Lib Tech,//images.blue-tomato.com/is/image/bluetomato/304300363_front.jpg-1G_MVxdQHvgh_-45QX7SqvY9Fs8/Union+Atlas+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Lib+Tech-Travis+Rice+Orca+153+2021+Snowboard-628802/
Union Flite Pro 2021,"€ 159,95",Union,//images.blue-tomato.com/is/image/bluetomato/304363599_front.jpg-_qcGOSp9AWfxHSWfbMJI-Tmuubk/Anon+Greta+3+Helm.jpg?$b1$,/de-AT/product/Union-Flite+Pro+2021+Snowboardbindung-618612/
Burton Moto Snowboard Boots,"€ 199,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304264686_front.jpg-gCpqMl6uH1hmjDsc-MeglsxI7uk/DC+Fns+Pbj+153+2021+Snowboard.jpg?$b1$,/de-AT/product/Burton-Moto+Snowboard+Boots-522448/
Capita Defenders Of Awesome 158 2021,"€ 479,95",Capita,//images.blue-tomato.com/is/image/bluetomato/303168822_front.jpg-mvhF5iVf_EezEhVBanidLQlsrWc/Burton+Wheelie+Gig+181cm+Snowboard+Tasche.jpg?$b1$,/de-AT/product/Capita-Defenders+Of+Awesome+158+2021+Snowboard-618458/
Union Atlas FC 2021,"€ 539,95",Union,//images.blue-tomato.com/is/image/bluetomato/303922457_front.jpg-CRN2lAZQIQD0z2Mcc3z4opc12GY/Burton+Step+On+2020+Snowboardbindung.jpg?$b1$,/de-AT/product/Union-Atlas+FC+2021+Snowboardbindung-618604/
Burton Photon BOA Wide 2021,"€ 359,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304372980_front.jpg-poECSdH5ZRHNNSExRpiGkCAseMM/Lib+Tech+Travis+Rice+Orca+156+2021+Snowboard.jpg?$b1$,/de-AT/product/Burton-Photon+BOA+Wide+2021+Snowboardboots-567178/
Union Atlas 2021,"€ 299,95",Union,//images.blue-tomato.com/is/image/bluetomato/304264958_front.jpg-XPERmRtt_LLcl7B7-pva3Wf74mg/DC+The+Laced+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Union-Atlas+2021+Snowboardbindung-618605/
Anon Greta 3 Helmet,"€ 79,95",Anon,//images.blue-tomato.com/is/image/bluetomato/304372929_front.jpg-wPQlLEtlUAzPJUoaxVoJhJEJJD0/Lib+Tech+Travis+Rice+Pro+Blunt+157+2021+Snowboard.jpg?$b1$,/de-AT/product/Anon-Greta+3+Helm-626081/
DC Fns Pbj 153 2021,"€ 379,95",DC,//images.blue-tomato.com/is/image/bluetomato/304300395_front.jpg-cJmxzKJKoATdUApRzsxAjImB4gw/Union+Falcor+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/DC-Fns+Pbj+153+2021+Snowboard-614755/
Burton Wheelie Gig 181cm Snowboard Bag,"€ 169,95",Burton,//images.blue-tomato.com/is/image/bluetomato/303517271_front.jpg-ZulEPYfaNIBYaPEiXm6X9K6xea8/Burton+Felix+Boa+Snowboard+Boots.jpg?$b1$,/de-AT/product/Burton-Wheelie+Gig+181cm+Snowboard+Tasche-476979/
Burton Step On 2021,"€ 279,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304345836_front.jpg-MZ1fqNRSboteE_ehQdk0FQn06kQ/Burton+Step+On+2020+Snowboardbindung.jpg?$b1$,/de-AT/product/Burton-Step+On+2020+Snowboardbindung-567090/
Lib Tech Travis Rice Orca 156 2021,"€ 649,95",Lib Tech,//images.blue-tomato.com/is/image/bluetomato/304342227_front.jpg-5pgiYlVj8ano7J53QTvUv_-50Q4/Burton+Mission+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Lib+Tech-Travis+Rice+Orca+156+2021+Snowboard-628803/
DC The Laced 2021,"€ 319,95",DC,//images.blue-tomato.com/is/image/bluetomato/304300372_front.jpg-LYL3F6DHwGPdwkXa6xnzDj4MitM/Union+Force+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/DC-The+Laced+2021+Snowboardboots-614782/
Lib Tech Travis Rice Pro Blunt 157 2021,"€ 599,95",Lib Tech,//images.blue-tomato.com/is/image/bluetomato/304342206_front.jpg-oI--iXxk9wEpQZnruN8e49WCrGw/Burton+Cartel+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Lib+Tech-Travis+Rice+Pro+Blunt+157+2021+Snowboard-628752/
Union Falcor 2021,"€ 339,95",Union,//images.blue-tomato.com/is/image/bluetomato/304300391_front.jpg-G_QC19Y-Qr5EGzs61wMclWEBG5Q/Union+Falcor+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Union-Falcor+2021+Snowboardbindung-618608/?colid=arctic+white
Burton Felix Boa Snowboard Boots,"€ 339,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304300382_front.jpg-e4C1hjTgA4SZK3pVo_jgTQsSUho/Union+Force+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Burton-Felix+Boa+Snowboard+Boots-522751/
Burton Step On 2021,"€ 279,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304320841_front.jpg-L4Usk0TjBvohd4mXl-1aVsk8fWs/Nitro+Team+TLS+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Burton-Step+On+2020+Snowboardbindung-623028/?colid=black
Burton Mission 2021,"€ 199,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304342638_front.jpg-Kewc83ygrFp6LhPYl1E-m6BJ-Hw/Burton+Ruler+Boa+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Burton-Mission+2021+Snowboardbindung-622740/
Union Force 2021,"€ 249,95",Union,//images.blue-tomato.com/is/image/bluetomato/304300432_front.jpg-9XMWLw6G3sObOVyGUqGfxP1bTwY/Union+Expedition+Splitboard+Bindung+2021.jpg?$b1$,/de-AT/product/Union-Force+2021+Snowboardbindung-618606/?colid=black
Burton Cartel 2021,"€ 249,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304002260_front.jpg-rsiszqZrseA_NmKU8DP4nozqq0k/Nitro+Team+TLS+2020+Snowboardboots.jpg?$b1$,/de-AT/product/Burton-Cartel+2021+Snowboardbindung-622738/
Union Falcor 2021,"€ 339,95",Union,//images.blue-tomato.com/is/image/bluetomato/304070656_front.jpg-6gyIZZAAOoh7n_NvG46q7Y2lLCY/Vans+Hi+Standard+OG+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Union-Falcor+2021+Snowboardbindung-618608/
